,s1,s2,s3,s4,s5,total,obtained,percentage,grade
115,89,92,92,81,88,500,442,88.4,A+
116,99,93,92,82,93,500,459,91.8,A+
117,81,86,97,80,94,500,438,87.6,A+
118,84,83,83,81,82,500,413,82.6,A+
119,95,91,82,80,83,500,431,86.2,A+
120,91,95,94,82,84,500,446,89.2,A+
121,95,91,87,86,94,500,453,90.60000000000001,A+
122,98,95,83,95,98,500,469,93.8,A+
123,87,90,87,85,97,500,446,89.2,A+
124,82,86,88,98,93,500,447,89.4,A+
125,84,98,85,80,91,500,438,87.6,A+
126,80,99,98,98,90,500,465,93.0,A+
127,86,89,89,82,84,500,430,86.0,A+
128,89,94,86,84,89,500,442,88.4,A+
129,97,93,82,90,99,500,461,92.2,A+
130,82,92,98,84,93,500,449,89.8,A+
131,89,95,88,97,90,500,459,91.8,A+
132,98,88,84,82,88,500,440,88.0,A+
133,99,84,96,99,99,500,477,95.39999999999999,A+
134,89,83,83,82,82,500,419,83.8,A+
135,89,90,95,91,92,500,457,91.4,A+
136,88,95,85,87,84,500,439,87.8,A+
137,97,89,93,88,90,500,457,91.4,A+
138,86,92,91,91,98,500,458,91.60000000000001,A+
139,97,98,86,92,88,500,461,92.2,A+
140,87,91,87,91,88,500,444,88.8,A+
141,87,84,99,84,89,500,443,88.6,A+
142,82,98,95,85,83,500,443,88.6,A+
143,91,98,90,94,97,500,470,94.0,A+
144,80,96,90,86,90,500,442,88.4,A+
145,95,93,86,99,81,500,454,90.8,A+
146,89,91,90,81,81,500,432,86.4,A+
147,97,99,93,87,96,500,472,94.39999999999999,A+
148,97,81,98,90,86,500,452,90.4,A+
149,96,90,98,86,94,500,464,92.80000000000001,A+
150,90,86,96,90,92,500,454,90.8,A+
151,89,82,82,98,95,500,446,89.2,A+
152,85,87,92,94,93,500,451,90.2,A+
153,99,99,86,87,91,500,462,92.4,A+
154,88,92,85,83,90,500,438,87.6,A+
155,85,96,94,90,92,500,457,91.4,A+
156,96,91,98,98,98,500,481,96.2,A+
157,87,86,87,81,96,500,437,87.4,A+
158,93,91,87,89,88,500,448,89.60000000000001,A+
159,97,86,95,80,84,500,442,88.4,A+
160,82,98,80,98,97,500,455,91.0,A+
161,81,90,87,83,85,500,426,85.2,A+
162,88,87,96,97,96,500,464,92.80000000000001,A+
163,83,92,84,88,99,500,446,89.2,A+
164,93,96,80,87,92,500,448,89.60000000000001,A+
165,83,93,88,96,97,500,457,91.4,A+
166,91,92,94,90,95,500,462,92.4,A+
167,92,94,90,88,90,500,454,90.8,A+
168,95,92,93,96,98,500,474,94.8,A+
169,86,97,84,84,90,500,441,88.2,A+
170,92,90,81,90,85,500,438,87.6,A+
171,97,82,94,87,90,500,450,90.0,A+
172,93,94,91,86,88,500,452,90.4,A+
173,99,93,94,87,87,500,460,92.0,A+
174,93,97,92,92,93,500,467,93.4,A+
175,87,81,83,83,97,500,431,86.2,A+
176,98,82,99,83,86,500,448,89.60000000000001,A+
177,87,90,82,82,88,500,429,85.8,A+
178,83,92,97,93,97,500,462,92.4,A+
179,85,92,82,84,86,500,429,85.8,A+
180,98,91,86,98,83,500,456,91.2,A+
181,86,99,91,98,85,500,459,91.8,A+
182,94,94,99,91,99,500,477,95.39999999999999,A+
183,99,99,89,89,96,500,472,94.39999999999999,A+
184,87,94,98,83,83,500,445,89.0,A+
185,87,94,89,84,96,500,450,90.0,A+
186,92,98,98,85,91,500,464,92.80000000000001,A+
187,95,81,96,95,96,500,463,92.60000000000001,A+
188,91,85,96,93,89,500,454,90.8,A+
189,83,86,83,86,92,500,430,86.0,A+
190,86,85,96,85,88,500,440,88.0,A+
191,87,88,94,98,86,500,453,90.60000000000001,A+
192,98,85,96,80,80,500,439,87.8,A+
193,98,96,81,80,89,500,444,88.8,A+
194,87,95,90,88,87,500,447,89.4,A+
195,93,94,91,95,80,500,453,90.60000000000001,A+
196,94,82,92,83,83,500,434,86.8,A+
197,99,91,82,91,88,500,451,90.2,A+
198,97,93,92,87,88,500,457,91.4,A+
199,98,82,85,93,83,500,441,88.2,A+
200,94,88,84,97,87,500,450,90.0,A+
201,87,85,92,86,83,500,433,86.6,A+
202,86,84,94,87,99,500,450,90.0,A+
203,84,85,98,84,96,500,447,89.4,A+
204,82,99,92,85,89,500,447,89.4,A+
205,88,88,94,98,98,500,466,93.2,A+
206,86,81,91,88,91,500,437,87.4,A+
207,97,86,91,81,86,500,441,88.2,A+
208,80,86,96,93,88,500,443,88.6,A+
209,80,93,87,98,83,500,441,88.2,A+
210,88,97,86,82,89,500,442,88.4,A+
211,81,90,90,90,96,500,447,89.4,A+
212,87,88,97,97,89,500,458,91.60000000000001,A+
213,90,88,98,83,81,500,440,88.0,A+
214,86,91,81,86,89,500,433,86.6,A+
215,85,97,89,93,84,500,448,89.60000000000001,A+
216,85,83,83,89,96,500,436,87.2,A+
217,90,81,87,89,86,500,433,86.6,A+
218,96,83,80,84,90,500,433,86.6,A+
219,94,86,86,88,95,500,449,89.8,A+
220,91,84,91,92,87,500,445,89.0,A+
221,87,83,94,83,98,500,445,89.0,A+
222,93,83,97,81,89,500,443,88.6,A+
223,87,90,87,82,84,500,430,86.0,A+
224,99,86,95,88,87,500,455,91.0,A+
225,81,81,98,97,91,500,448,89.60000000000001,A+
226,81,98,95,93,99,500,466,93.2,A+
227,94,96,80,87,99,500,456,91.2,A+
228,81,95,83,91,87,500,437,87.4,A+
229,91,87,89,82,83,500,432,86.4,A+
230,92,89,89,93,87,500,450,90.0,A+
231,91,92,82,97,85,500,447,89.4,A+
232,93,99,80,88,86,500,446,89.2,A+
233,86,87,93,87,92,500,445,89.0,A+
234,88,98,92,90,92,500,460,92.0,A+
235,85,97,81,87,90,500,440,88.0,A+
236,98,82,89,85,83,500,437,87.4,A+
237,82,83,85,85,82,500,417,83.39999999999999,A+
238,87,94,90,80,92,500,443,88.6,A+
239,81,97,97,85,94,500,454,90.8,A+
240,80,95,80,86,87,500,428,85.6,A+
241,89,97,96,83,87,500,452,90.4,A+
242,82,81,82,84,87,500,416,83.2,A+
243,92,82,89,91,85,500,439,87.8,A+
244,96,82,87,98,83,500,446,89.2,A+
245,95,93,85,92,81,500,446,89.2,A+
246,92,97,91,97,89,500,466,93.2,A+
247,91,95,84,81,94,500,445,89.0,A+
248,96,94,99,99,84,500,472,94.39999999999999,A+
249,91,98,83,92,97,500,461,92.2,A+
250,91,94,97,87,91,500,460,92.0,A+
251,99,86,85,97,92,500,459,91.8,A+
252,86,95,96,97,85,500,459,91.8,A+
253,97,84,80,94,90,500,445,89.0,A+
254,84,81,97,86,95,500,443,88.6,A+
255,97,89,95,87,96,500,464,92.80000000000001,A+
256,87,97,98,89,90,500,461,92.2,A+
257,91,89,96,96,83,500,455,91.0,A+
258,85,98,83,84,97,500,447,89.4,A+
259,96,89,83,91,99,500,458,91.60000000000001,A+
260,85,93,88,89,83,500,438,87.6,A+
261,95,99,96,98,82,500,470,94.0,A+
262,83,94,96,93,92,500,458,91.60000000000001,A+
263,80,88,97,90,82,500,437,87.4,A+
264,83,87,92,98,91,500,451,90.2,A+
265,91,91,97,84,80,500,443,88.6,A+
266,99,87,90,93,90,500,459,91.8,A+
267,82,82,99,83,95,500,441,88.2,A+
268,87,84,85,96,90,500,442,88.4,A+
269,97,83,97,99,81,500,457,91.4,A+
270,98,85,85,96,97,500,461,92.2,A+
271,83,98,88,96,91,500,456,91.2,A+
272,93,99,89,97,87,500,465,93.0,A+
273,85,95,99,87,96,500,462,92.4,A+
274,88,81,91,94,89,500,443,88.6,A+
275,83,93,86,84,91,500,437,87.4,A+
276,95,81,94,80,92,500,442,88.4,A+
277,89,88,92,95,96,500,460,92.0,A+
278,80,86,97,95,91,500,449,89.8,A+
279,85,99,98,83,97,500,462,92.4,A+
280,82,88,82,90,84,500,426,85.2,A+
281,88,83,92,94,91,500,448,89.60000000000001,A+
282,89,93,87,85,83,500,437,87.4,A+
283,92,91,83,91,95,500,452,90.4,A+
284,84,81,80,95,95,500,435,87.0,A+
285,85,92,81,87,95,500,440,88.0,A+
286,88,99,91,88,96,500,462,92.4,A+
287,83,92,93,85,91,500,444,88.8,A+
288,85,90,81,84,94,500,434,86.8,A+
289,80,92,98,95,81,500,446,89.2,A+
290,96,87,87,81,84,500,435,87.0,A+
291,98,93,90,96,86,500,463,92.60000000000001,A+
292,89,95,80,81,97,500,442,88.4,A+
293,86,87,81,83,95,500,432,86.4,A+
294,89,80,98,84,92,500,443,88.6,A+
295,87,88,90,91,96,500,452,90.4,A+
296,89,95,95,99,91,500,469,93.8,A+
297,83,98,99,82,86,500,448,89.60000000000001,A+
298,92,94,95,89,88,500,458,91.60000000000001,A+
299,95,82,88,98,85,500,448,89.60000000000001,A+
300,85,88,86,91,94,500,444,88.8,A+
301,82,80,84,96,98,500,440,88.0,A+
302,93,96,89,91,86,500,455,91.0,A+
303,81,80,98,87,98,500,444,88.8,A+
304,97,94,93,95,91,500,470,94.0,A+
305,90,97,86,94,95,500,462,92.4,A+
306,97,85,87,89,84,500,442,88.4,A+
307,98,83,98,85,94,500,458,91.60000000000001,A+
308,90,87,96,96,91,500,460,92.0,A+
309,84,87,96,92,89,500,448,89.60000000000001,A+
310,99,94,91,90,93,500,467,93.4,A+
311,99,88,94,81,99,500,461,92.2,A+
312,97,87,80,82,95,500,441,88.2,A+
313,80,90,93,88,89,500,440,88.0,A+
314,90,85,97,99,98,500,469,93.8,A+
315,95,96,87,83,86,500,447,89.4,A+
316,85,90,83,82,82,500,422,84.39999999999999,A+
317,99,93,93,87,86,500,458,91.60000000000001,A+
318,86,99,90,80,90,500,445,89.0,A+
319,86,81,94,85,95,500,441,88.2,A+
320,89,99,95,83,89,500,455,91.0,A+
321,97,98,81,99,81,500,456,91.2,A+
322,94,92,98,97,90,500,471,94.19999999999999,A+
323,91,92,88,85,96,500,452,90.4,A+
324,83,86,87,99,80,500,435,87.0,A+
325,83,93,89,88,88,500,441,88.2,A+
326,97,97,86,82,81,500,443,88.6,A+
327,99,90,85,89,98,500,461,92.2,A+
328,92,95,87,84,97,500,455,91.0,A+
329,86,92,87,84,93,500,442,88.4,A+
330,84,94,85,82,95,500,440,88.0,A+
331,84,89,99,82,87,500,441,88.2,A+
332,82,96,94,98,80,500,450,90.0,A+
333,99,82,85,92,98,500,456,91.2,A+
334,88,93,96,98,90,500,465,93.0,A+
335,86,96,90,98,86,500,456,91.2,A+
336,80,83,90,93,81,500,427,85.39999999999999,A+
337,92,96,92,83,86,500,449,89.8,A+
338,80,83,92,90,90,500,435,87.0,A+
339,95,90,99,86,86,500,456,91.2,A+
340,91,98,97,80,95,500,461,92.2,A+
341,82,98,89,89,98,500,456,91.2,A+
342,91,83,88,90,86,500,438,87.6,A+
343,83,82,99,85,80,500,429,85.8,A+
344,97,85,92,82,89,500,445,89.0,A+
345,83,89,86,82,82,500,422,84.39999999999999,A+
346,82,83,80,85,83,500,413,82.6,A+
347,84,90,99,83,88,500,444,88.8,A+
348,93,91,90,93,88,500,455,91.0,A+
349,90,93,82,92,95,500,452,90.4,A+
350,88,91,86,91,83,500,439,87.8,A+
351,95,94,87,94,81,500,451,90.2,A+
352,82,99,90,81,92,500,444,88.8,A+
353,81,98,89,88,81,500,437,87.4,A+
354,88,85,84,84,83,500,424,84.8,A+
355,89,93,81,80,86,500,429,85.8,A+
356,90,85,85,95,84,500,439,87.8,A+
357,94,83,80,98,82,500,437,87.4,A+
358,90,81,89,92,99,500,451,90.2,A+
359,94,94,97,84,95,500,464,92.80000000000001,A+
360,85,87,85,88,81,500,426,85.2,A+
361,81,99,88,83,92,500,443,88.6,A+
362,91,97,97,91,94,500,470,94.0,A+
363,91,93,94,85,98,500,461,92.2,A+
364,99,98,95,97,83,500,472,94.39999999999999,A+
365,95,90,85,94,94,500,458,91.60000000000001,A+
366,93,87,93,97,97,500,467,93.4,A+
367,82,96,90,82,88,500,438,87.6,A+
368,82,97,86,90,95,500,450,90.0,A+
369,82,95,82,92,99,500,450,90.0,A+
370,90,86,87,92,92,500,447,89.4,A+
371,92,90,93,85,92,500,452,90.4,A+
372,96,85,98,80,81,500,440,88.0,A+
373,88,92,94,85,87,500,446,89.2,A+
374,88,88,99,84,87,500,446,89.2,A+
375,99,95,84,92,83,500,453,90.60000000000001,A+
376,90,80,81,85,95,500,431,86.2,A+
377,88,99,82,92,89,500,450,90.0,A+
378,95,86,82,87,82,500,432,86.4,A+
379,87,89,83,82,86,500,427,85.39999999999999,A+
380,84,93,96,95,91,500,459,91.8,A+
381,85,82,93,85,87,500,432,86.4,A+
382,88,93,91,81,98,500,451,90.2,A+
383,82,81,83,86,83,500,415,83.0,A+
384,97,90,91,88,84,500,450,90.0,A+
385,92,96,92,83,82,500,445,89.0,A+
386,87,99,93,95,98,500,472,94.39999999999999,A+
387,98,97,87,94,88,500,464,92.80000000000001,A+
388,80,92,89,87,98,500,446,89.2,A+
389,82,96,83,95,91,500,447,89.4,A+
390,97,95,84,88,98,500,462,92.4,A+
391,96,90,97,99,98,500,480,96.0,A+
392,86,81,85,82,80,500,414,82.8,A+
393,95,95,93,82,81,500,446,89.2,A+
394,96,91,80,89,82,500,438,87.6,A+
395,95,88,95,99,97,500,474,94.8,A+
396,94,87,94,98,94,500,467,93.4,A+
397,99,82,90,99,83,500,453,90.60000000000001,A+
398,83,95,88,99,94,500,459,91.8,A+
399,90,91,98,90,92,500,461,92.2,A+
400,93,87,85,99,93,500,457,91.4,A+
401,86,98,91,92,93,500,460,92.0,A+
402,83,90,99,93,92,500,457,91.4,A+
403,84,93,83,96,81,500,437,87.4,A+
404,83,80,83,98,96,500,440,88.0,A+
405,91,80,86,97,84,500,438,87.6,A+
406,89,87,82,88,81,500,427,85.39999999999999,A+
407,91,82,86,89,81,500,429,85.8,A+
408,87,91,91,88,96,500,453,90.60000000000001,A+
409,82,88,82,97,96,500,445,89.0,A+
410,81,83,86,90,95,500,435,87.0,A+
411,92,90,90,80,94,500,446,89.2,A+
412,90,96,83,80,93,500,442,88.4,A+
413,89,85,98,83,91,500,446,89.2,A+
414,93,89,93,83,84,500,442,88.4,A+
415,92,88,93,91,96,500,460,92.0,A+
416,98,94,94,84,84,500,454,90.8,A+
417,92,84,82,89,91,500,438,87.6,A+
418,87,82,88,96,82,500,435,87.0,A+
419,83,87,96,85,94,500,445,89.0,A+
420,93,89,80,93,80,500,435,87.0,A+
421,97,90,93,96,84,500,460,92.0,A+
422,88,87,89,80,90,500,434,86.8,A+
423,82,92,91,82,86,500,433,86.6,A+
424,80,99,85,84,89,500,437,87.4,A+
425,89,91,88,91,91,500,450,90.0,A+
426,87,92,98,99,91,500,467,93.4,A+
427,88,92,96,88,87,500,451,90.2,A+
428,83,92,84,98,94,500,451,90.2,A+
429,82,80,96,98,82,500,438,87.6,A+
430,87,98,93,80,92,500,450,90.0,A+
431,91,88,89,99,93,500,460,92.0,A+
432,86,89,82,98,95,500,450,90.0,A+
433,81,91,83,95,80,500,430,86.0,A+
434,82,89,86,82,82,500,421,84.2,A+
435,83,81,86,99,91,500,440,88.0,A+
436,89,93,85,88,89,500,444,88.8,A+
437,95,97,99,99,87,500,477,95.39999999999999,A+
438,96,81,87,93,82,500,439,87.8,A+
439,92,87,84,80,84,500,427,85.39999999999999,A+
440,86,94,98,95,88,500,461,92.2,A+
441,80,88,86,87,86,500,427,85.39999999999999,A+
442,89,94,96,88,87,500,454,90.8,A+
443,91,88,90,99,92,500,460,92.0,A+
444,99,87,87,89,80,500,442,88.4,A+
445,80,95,94,98,95,500,462,92.4,A+
446,95,90,85,93,91,500,454,90.8,A+
447,86,87,82,93,90,500,438,87.6,A+
448,91,80,95,88,81,500,435,87.0,A+
449,86,89,94,93,98,500,460,92.0,A+
450,88,98,85,99,94,500,464,92.80000000000001,A+
451,85,82,92,81,83,500,423,84.6,A+
452,84,96,83,93,84,500,440,88.0,A+
453,97,81,99,94,85,500,456,91.2,A+
454,86,82,96,87,92,500,443,88.6,A+
455,88,82,92,97,97,500,456,91.2,A+
456,94,88,98,94,81,500,455,91.0,A+
457,87,81,97,84,83,500,432,86.4,A+
458,84,81,84,83,80,500,412,82.39999999999999,A+
459,97,97,85,98,97,500,474,94.8,A+
460,90,82,89,90,87,500,438,87.6,A+
461,91,97,84,83,94,500,449,89.8,A+
462,86,80,87,99,80,500,432,86.4,A+
463,80,95,81,89,90,500,435,87.0,A+
464,89,93,90,85,99,500,456,91.2,A+
465,83,98,98,96,93,500,468,93.60000000000001,A+
466,82,83,91,92,82,500,430,86.0,A+
467,97,97,82,90,81,500,447,89.4,A+
468,90,98,86,97,80,500,451,90.2,A+
469,84,98,96,94,92,500,464,92.80000000000001,A+
470,84,87,90,88,82,500,431,86.2,A+
471,87,91,97,83,99,500,457,91.4,A+
472,80,80,92,83,95,500,430,86.0,A+
473,82,90,92,85,81,500,430,86.0,A+
474,93,98,97,90,82,500,460,92.0,A+
475,92,93,80,99,93,500,457,91.4,A+
476,94,98,83,82,91,500,448,89.60000000000001,A+
477,98,93,89,85,94,500,459,91.8,A+
478,86,99,85,89,91,500,450,90.0,A+
479,95,82,81,97,85,500,440,88.0,A+
480,90,81,80,85,84,500,420,84.0,A+
481,93,90,93,84,94,500,454,90.8,A+
482,92,99,92,95,92,500,470,94.0,A+
483,88,96,86,91,91,500,452,90.4,A+
484,96,99,80,81,80,500,436,87.2,A+
485,93,84,85,85,95,500,442,88.4,A+
486,95,98,98,91,93,500,475,95.0,A+
487,90,88,92,82,88,500,440,88.0,A+
488,94,98,89,96,87,500,464,92.80000000000001,A+
489,91,82,95,81,80,500,429,85.8,A+
490,97,84,90,87,98,500,456,91.2,A+
491,97,85,99,91,90,500,462,92.4,A+
492,86,99,85,84,80,500,434,86.8,A+
493,97,95,99,80,88,500,459,91.8,A+
494,90,85,99,86,87,500,447,89.4,A+
495,83,99,91,84,99,500,456,91.2,A+
496,80,94,90,91,98,500,453,90.60000000000001,A+
497,84,92,88,91,93,500,448,89.60000000000001,A+
498,82,82,95,88,98,500,445,89.0,A+
499,99,93,94,98,84,500,468,93.60000000000001,A+
500,95,93,89,83,94,500,454,90.8,A+
501,87,96,80,96,92,500,451,90.2,A+
502,89,95,81,95,89,500,449,89.8,A+
503,81,91,86,96,86,500,440,88.0,A+
504,84,95,83,90,87,500,439,87.8,A+
505,99,84,97,99,93,500,472,94.39999999999999,A+
506,83,94,81,94,87,500,439,87.8,A+
507,88,98,80,97,93,500,456,91.2,A+
508,98,82,82,89,98,500,449,89.8,A+
509,91,92,96,89,86,500,454,90.8,A+
510,90,95,89,97,98,500,469,93.8,A+
511,95,98,80,85,98,500,456,91.2,A+
512,96,84,97,88,96,500,461,92.2,A+
513,97,86,88,92,94,500,457,91.4,A+
514,80,80,83,90,96,500,429,85.8,A+
515,80,99,86,85,91,500,441,88.2,A+
516,89,81,99,88,83,500,440,88.0,A+
517,92,97,99,96,94,500,478,95.6,A+
518,90,98,98,92,96,500,474,94.8,A+
519,98,82,85,93,99,500,457,91.4,A+
520,88,93,89,82,87,500,439,87.8,A+
521,94,91,88,89,97,500,459,91.8,A+
522,92,92,83,94,85,500,446,89.2,A+
523,86,97,96,92,99,500,470,94.0,A+
524,92,89,80,82,98,500,441,88.2,A+
525,96,80,93,89,95,500,453,90.60000000000001,A+
526,94,98,89,82,92,500,455,91.0,A+
527,91,84,91,87,85,500,438,87.6,A+
528,84,84,86,80,85,500,419,83.8,A+
529,93,98,96,86,89,500,462,92.4,A+
530,92,89,88,99,82,500,450,90.0,A+
531,90,84,98,97,93,500,462,92.4,A+
532,97,85,92,86,87,500,447,89.4,A+
533,81,86,94,87,94,500,442,88.4,A+
534,83,96,93,94,96,500,462,92.4,A+
535,88,80,98,86,82,500,434,86.8,A+
536,86,83,88,80,90,500,427,85.39999999999999,A+
537,85,96,84,82,85,500,432,86.4,A+
538,97,95,90,80,96,500,458,91.60000000000001,A+
539,91,83,96,84,85,500,439,87.8,A+
540,84,96,93,95,84,500,452,90.4,A+
541,81,90,80,86,82,500,419,83.8,A+
542,80,86,95,97,81,500,439,87.8,A+
543,99,95,94,87,98,500,473,94.6,A+
544,97,85,85,93,81,500,441,88.2,A+
545,89,84,93,83,84,500,433,86.6,A+
546,85,89,80,83,96,500,433,86.6,A+
547,98,80,94,94,84,500,450,90.0,A+
548,92,83,89,96,92,500,452,90.4,A+
549,95,91,95,84,97,500,462,92.4,A+
550,87,84,93,89,87,500,440,88.0,A+
551,95,89,82,97,97,500,460,92.0,A+
552,87,98,96,89,85,500,455,91.0,A+
553,86,88,88,82,98,500,442,88.4,A+
554,81,88,99,89,90,500,447,89.4,A+
555,93,94,80,87,92,500,446,89.2,A+
556,83,81,80,96,86,500,426,85.2,A+
557,83,94,95,93,91,500,456,91.2,A+
558,98,81,80,93,92,500,444,88.8,A+
559,91,94,86,86,85,500,442,88.4,A+
560,95,81,89,89,85,500,439,87.8,A+
561,91,81,88,90,88,500,438,87.6,A+
562,96,81,81,97,88,500,443,88.6,A+
563,86,90,82,97,88,500,443,88.6,A+
564,80,88,81,83,92,500,424,84.8,A+
565,98,94,95,80,91,500,458,91.60000000000001,A+
566,84,86,92,99,90,500,451,90.2,A+
567,88,86,96,87,81,500,438,87.6,A+
568,90,84,89,95,94,500,452,90.4,A+
569,98,92,92,97,82,500,461,92.2,A+
570,84,84,88,84,85,500,425,85.0,A+
571,81,97,93,92,97,500,460,92.0,A+
572,85,84,93,88,82,500,432,86.4,A+
573,95,83,90,94,81,500,443,88.6,A+
574,88,86,96,83,83,500,436,87.2,A+
575,92,97,92,83,88,500,452,90.4,A+
576,91,95,85,88,94,500,453,90.60000000000001,A+
577,84,99,90,83,89,500,445,89.0,A+
578,87,97,91,86,98,500,459,91.8,A+
579,80,93,95,81,81,500,430,86.0,A+
580,84,98,83,94,83,500,442,88.4,A+
581,97,99,83,89,88,500,456,91.2,A+
582,90,83,94,84,83,500,434,86.8,A+
583,90,84,88,91,98,500,451,90.2,A+
584,92,93,86,95,95,500,461,92.2,A+
585,96,91,91,98,98,500,474,94.8,A+
586,96,90,97,85,82,500,450,90.0,A+
587,92,94,95,99,83,500,463,92.60000000000001,A+
588,80,90,82,97,92,500,441,88.2,A+
589,88,98,91,84,85,500,446,89.2,A+
590,84,90,95,94,93,500,456,91.2,A+
